,hashtag,segmentedHashtag,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
0,tryingtosleep,trying to sleep,trying to sleep,trying tosleep,try ing to sleep,try i ng to sleep,trying t o sleep,tryingto sleep,tryingtosleep,tryi ng to sleep,tryingt o sleep,t rying to sleep
1,mixture,mixture,mixture,mi xture,m ixture,m i xture,m ix ture,mix ture,mixtur e,mixtu re,mixt ure,mi x ture
2,runit,run it,run it,r unit,run i t,r uni t,runit,ru nit,runi t,r u nit,ru n it,r un it
3,whatadream,what a dream,what a dream,whata dream,w hat a dream,wha ta dream,w hatadream,whatadream,what adream,what a d ream,what a drea m,wh at a dream
4,keepitcoming,keep it coming,keep it coming,keepit coming,keep it com ing,keep i t coming,keepitcoming,keep itcoming,keepit com ing,keepitcom ing,keepi t coming,keep it comi ng
5,originalman,original man,original man,originalma n,origin alman,origin alma n,originalman,original ma n,original m an,original m a n,origin al man,origina lman
6,sportsnews,sports news,sportsnews,s ports news,sport snews,sports new s,sport s news,sports news,s portsnews,s port s news,s ports new s,sportsn ews
7,onrepeat,on repeat,on repeat,o n repeat,on repe at,onre peat,o n r epeat,onrepeat,o nrepeat,o nr epeat,o n re peat,o n rep eat
8,creative,creative,creative,creat ive,creati ve,crea tive,creat iv e,cr e ative,c rea tive,creativ e,c reative,cr eative
9,thegrandmaster,the grandmaster,the grand master,thegrandmaster,t he grandmaster,t he grand master,t hegrandmaster,the grandmaster,thegrand master,th e grandmaster,th e grand master,th egrandmaster
10,nicee,nicee,nicee,nic ee,n i c e e,ni c e e,ni c ee,n ice e,nice e,ni cee,nic e e,n icee
11,photocontest,photo contest,photo contest,photo con test,pho to contest,phot ocontest,photo c on test,photocontest,photocon test,phot o contest,p hoto contest,photo cont est
12,linux,linux,linux,lin ux,li nux,lin u x,l in ux,linu x,l inux,l in u x,li n u x,li n ux
13,exactwords,exact words,exact words,exact word s,e xact words,ex actwords,e xactwords,exactwords,ex act words,exactword s,e x act words,ex act word s
14,cursing,cursing,cursing,c ursing,cursi ng,cu rsing,curs ing,cursin g,cur sing,c ur sing,c ur s ing,c urs ing
15,degeneratemedia,degenerate media,degenerate media,degeneratemedia,de generate media,d e generate media,degenerate med ia,degenerat emedia,degenerate me dia,de generat e media,degenerat e media,degene rate media
16,powercouple,power couple,powercouple,p ower couple,p owercouple,powe r couple,powercoupl e,pow er couple,power couple,power coup le,power coupl e,power co u ple
17,factsoflife,facts of life,facts of life,f acts of life,fac ts of life,facts of lif e,facts oflife,factsof life,fact s of life,facts o f life,factsoflife,f acts o f life
18,badatreferences,bad at references,bad at references,badatreferences,ba dat references,bada t references,b adat references,b a dat references,badat references,bad atreferences,bad at reference s,b ad at references
19,awardshow,award show,award show,awards how,a wardshow,a wards how,award s how,awardshow,a ward show,aw ard show,awards h ow,awardsh ow
20,cyclists,cyclists,cyclists,c yclists,cyc lists,c y clists,cycli sts,cyclist s,cy clists,cyclis ts,cycl ists,c yc lists
21,season1episode2,season 1 episode 2,season 1 episode 2,season1episode2,season1 episode 2,season 1episode2,season 1e pisode 2,season 1episode 2,season1 episode2,season 1 episode2,season1episode 2,season 1 e pisode 2
22,boxervsrain,boxer vs rain,boxer vs rain,boxervs rain,boxer v srain,boxervsrain,box er vs rain,boxer vsrain,boxer v s rain,boxe r vs rain,boxer vs rai n,boxer vs ra in
23,lovewithouttragedy,love without tragedy,love without tragedy,love withouttragedy,lo ve without tragedy,lovewith out tragedy,lovewithouttragedy,lovewithout tragedy,love with out tragedy,l ove without tragedy,love with outtragedy,l ove with out tragedy
24,inmyopinion,in my opinion,in my opinion,i n my opinion,in my opin ion,i nmy opinion,in myopinion,inmyopinion,inmy opinion,in my opini on,in my opinio n,in m y opinion
25,thatsmydaddy,thats my daddy,thats my daddy,thats mydaddy,that s my daddy,thatsmy daddy,t hats my daddy,that smydaddy,thats m y daddy,thatsmydaddy,thats my dad dy,thats my dad d y
26,whatelseisnew,what else is new,what else is new,what elseisnew,what else is ne w,what el se is new,what el seis new,what elseis new,w hat else is new,what else i s new,what else isne w,what els e is new
27,privateschoolprobz,private school probz,private school probz,private school prob z,private school pro bz,privateschool probz,private school pro b z,private school pr obz,privateschoolprobz,private schoolprobz,private school p robz,private schoolpro bz
28,Deleanorrie,Deleanorrie,Deleanorrie,Delea norrie,Dele an orrie,De leanorrie,Del ea norrie,Delean orrie,Dele a norrie,Deleanor rie,Dele anorrie,Del eanorrie
29,Batflack,Batflack,Batflack,B at flack,Ba tflack,B atfl ack,Ba t flack,B at f lack,Bat flack,B atflack,B at fl ack,B at flac k
30,Mikey,Mikey,Mikey,M ike y,Mik ey,Mi ke y,M i ke y,Mike y,M ikey,Mi key,M i key,M i k ey
31,Copped,Copped,Copped,Cop ped,C opped,C opp ed,C o pp ed,Coppe d,Copp ed,Co pp ed,C op p ed,C oppe d
32,NextMicrosoftCEO,Next Microsoft CEO,Next Microsoft CEO,NextMicrosoftCEO,Nex t Microsoft CEO,NextMicrosoft CE O,NextMicrosoft CEO,Next MicrosoftCEO,Next Microsoft CE O,Next Microsoft C EO,Next Microsoft C E O,NextMicrosoft C EO
33,longlive,long live,long live,l on g live,lo ng live,long l ive,lon glive,longlive,lo nglive,l onglive,l ong live,long liv e
