,Unnamed: 0,Unnamed: 0.1,Unsegmented_hashtag,Segmented_hashtag,Unsegmented_hashtag_lowerCase,Segmented_hashtag_lowerCase,segments_count
2385,2393,2393,MinisterofState,Ministerof State,ministerofstate,ministerof state,2
155405,155792,155792,PuducherryLoksabhaElections2019,Puducherry Loksabha Elections 2019,puducherryloksabhaelections2019,puducherry loksabha elections 2019,4
27106,27188,27188,IndiaDeveleopmentDebate,India Develeopment Debate,indiadeveleopmentdebate,india develeopment debate,3
40448,40562,40562,LokSabhaSet,Lok Sabha Set,loksabhaset,lok sabha set,3
165315,165722,165722,DeafTalent,Deaf Talent,deaftalent,deaf talent,2
281889,282559,282559,Youth4Nation,Youth 4 Nation,youth4nation,youth 4 nation,3
189961,190417,190417,CelebratingIndiasDemocraticFestival,Celebrating Indias Democratic Festival,celebratingindiasdemocraticfestival,celebrating indias democratic festival,4
287190,287871,287871,yellowVest,yellow Vest,yellowvest,yellow vest,2
207760,208260,208260,JhulaDiplomacyFails,Jhula Diplomacy Fails,jhuladiplomacyfails,jhula diplomacy fails,3
177361,177786,177786,RahulkechamchebhiJhutehai,Rahulkechamchebhi Jhutehai,rahulkechamchebhijhutehai,rahulkechamchebhi jhutehai,2
222266,222802,222802,TCOTKpt2,TCOT Kpt 2,tcotkpt2,tcot kpt 2,3
140472,140827,140827,DrHarshvarsdhan4Delhi,Dr Harshvarsdhan 4 Delhi,drharshvarsdhan4delhi,dr harshvarsdhan 4 delhi,4
130549,130882,130882,Vote4RamapatiRamTripathi,Vote 4 Ramapati Ram Tripathi,vote4ramapatiramtripathi,vote 4 ramapati ram tripathi,5
307668,308400,308400,RememberTerrorAttacksWhenYouVote,Remember Terror Attacks When You Vote,rememberterrorattackswhenyouvote,remember terror attacks when you vote,6
173549,173969,173969,AmrinderSinghLovely,Amrinder Singh Lovely,amrindersinghlovely,amrinder singh lovely,3
171105,171522,171522,JharkhandElections2019,Jharkhand Elections 2019,jharkhandelections2019,jharkhand elections 2019,3
