,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation
0,bhoomi,bhoomi,bhoom i,bhoo mi,bho omi,b hoomi,bhoo m i,bho om i,bh oomi,bho o mi,b ho omi,roman,229026,$1,Hashtag has non english token ,"[{""start"": 0, ""end"": 6, ""text"": ""bhoomi"", ""labels"": [""Named Entity""]}]","{""text"": [""bhoomi"", ""bhoomi""]}",4,1802,2021-12-30T08:14:32.339494Z,2022-01-06T13:31:39.895165Z,130.487,bhoomi
1,dominos,dominos,domino s,do minos,domi nos,domin os,dom inos,dom in os,d ominos,do min os,d o minos,roman,228769,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""dominos"", ""labels"": [""Named Entity""]}]","{""text"": [""dominos"", ""dominos""]}",4,1495,2021-12-19T13:05:36.015797Z,2022-01-06T13:30:46.514042Z,77.056,dominos
2,psgfcgb,psgfcgb,psgfcg b,p sgfcgb,psgfc gb,ps gfcgb,psg fcgb,psgfc g b,psgf cgb,p s gfcgb,psg f c g b,roman,230191,$6,Hashtag has named entities,"[{""start"": 3, ""end"": 7, ""text"": ""fcgb"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 3, ""text"": ""psg"", ""labels"": [""Named Entity""]}]","{""text"": [""psgfcgb"", ""psgfcgb""]}",1,740,2021-10-26T10:06:59.823018Z,2022-01-06T13:30:13.206473Z,43.687,psg fcgb
3,mazdoorno1,mazdoorno1,mazdoor no1,mazdoorno 1,mazdoor no 1,m azdoorno1,ma zdoorno1,mazdoorn o1,maz doorno1,mazdoorn o 1,mazdo or no1,election,250220,$4,Hashtag has non english token ,None,"{""text"": [""mazdoorno1"", ""mazdoorno1""]}",3,2418,2022-01-05T09:24:57.092193Z,2022-01-05T09:25:03.734694Z,3438.726,mazdoor no 1
4,pappukabhibadleganahi,pappukabhibadleganahi,pappukabhibadleganah i,pappukabhibadlegana hi,pappukabhibadlega nahi,p appukabhibadleganahi,pa ppukabhibadleganahi,pappu kabhibadleganahi,pappukabhibadlegan ahi,pap pukabhibadleganahi,pappukabhibadlega na hi,election,250144,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 5, ""text"": ""pappu"", ""labels"": [""Named Entity""]}]","{""text"": [""pappu kabhi badlega nahi"", ""pappukabhibadleganahi""]}",3,2380,2022-01-05T09:08:48.447382Z,2022-01-05T09:09:03.040336Z,2478.165,pappu kabhi badlega nahi
5,indiannewspapers,indian newspapers,indiannewspapers,indian news papers,in diannewspapers,indian newspaper s,indiannewspaper s,india n newspapers,i ndiannewspapers,indian news paper s,indiannews papers,election,250034,$1,None,None,"{""text"": [""indiannewspapers"", ""indiannewspapers""]}",3,1983,2021-12-30T14:02:12.741971Z,2022-01-05T09:01:22.458910Z,2017.419,indian newspapers
6,fakeswarabhaskar,fakeswarabhaskar,fake swara bhaskar,fakeswarabhas kar,fakeswarabhaska r,f akeswarabhaskar,fakeswarabhask ar,fake swarabhaskar,fa keswarabhaskar,fakeswara bhaskar,fakes warabhaskar,election,400035,$2,Hashtag has named entities,"[{""start"": 4, ""end"": 9, ""text"": ""swara"", ""labels"": [""Named Entity""]}, {""start"": 9, ""end"": 16, ""text"": ""bhaskar"", ""labels"": [""Named Entity""]}]",fakeswarabhaskar,1,2282,2022-01-05T05:28:08.028856Z,2022-01-05T05:28:08.028923Z,19.716,fake swara bhaskar
7,vaikuntaekadasi,vaikunta ekadasi,vaikuntaekadasi,vaikuntaekadas i,vaikuntaekada si,v aikuntaekadasi,va ikuntaekadasi,vaikuntaekad asi,vaikuntaekad as i,vai kuntaekadasi,vaikuntaeka dasi,roman,230639,$1,Hashtag has non english token ,None,"{""text"": [""vaikuntaekadasi"", ""vaikuntaekadasi""]}",1,2184,2022-01-04T07:45:52.859015Z,2022-01-04T07:46:00.718471Z,508.721,vaikunta ekadasi
8,lastdayofmynrtraeors,lastdayofmynrtraeors,lastdayofmynrtraeor s,la stdayofmynrtraeors,last dayofmynrtraeors,lastdayofmynrtraeo rs,l astdayofmynrtraeors,las tdayofmynrtraeors,lastdayofmynrtrae ors,lastdayofmynrtraeo r s,lastdayofmynrtrae or s,roman,229164,None,Hashtag has named entities,"[{""start"": 9, ""end"": 16, ""text"": ""mynrtra"", ""labels"": [""Named Entity""]}]","{""text"": [""last day of mynrtra eors"", ""lastdayofmynrtraeors""]}",4,2160,2021-12-31T15:25:07.809179Z,2021-12-31T15:25:11.558673Z,2334.709,last day of mynrtra eors
9,rohitsharma,rohit sharma,rohitsharma,ro hit sharma,rohitsharm a,rohi t sharma,rohitshar ma,r ohitsharma,ro hitsharma,rohits harma,rohits harm a,roman,229095,$1,Hashtag has named entities,"[{""start"": 5, ""end"": 11, ""text"": ""sharma"", ""labels"": [""Named Entity""]}, {""start"": 0, ""end"": 5, ""text"": ""rohit"", ""labels"": [""Named Entity""]}]","{""text"": [""rohitsharma"", ""rohitsharma""]}",4,2093,2021-12-31T14:48:16.648009Z,2021-12-31T14:48:55.077528Z,158.306,rohit sharma
